City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Punta Arenas,CL,-53.15,-70.9167,48.31,87,75,12.66,light rain
1,Bluff,NZ,-46.6,168.3333,62.42,78,100,7.49,overcast clouds
2,Kolga,EE,59.4867,25.6192,32.49,98,100,2.68,light snow
3,Tuktoyaktuk,CA,69.4541,-133.0374,5.0,78,100,9.22,overcast clouds
4,East London,ZA,-33.0153,27.9116,70.95,86,66,14.14,broken clouds
5,Atuona,PF,-9.8,-139.0333,78.78,74,47,21.65,scattered clouds
6,Bredasdorp,ZA,-34.5322,20.0403,66.36,77,100,11.61,overcast clouds
7,Joshimath,IN,30.5667,79.5667,32.86,27,0,9.69,clear sky
8,Hami,CN,42.8,93.45,19.69,50,100,7.49,overcast clouds
9,Kaitangata,NZ,-46.2817,169.8464,67.59,68,100,8.34,overcast clouds
10,Chuy,UY,-33.6971,-53.4616,64.92,71,94,9.84,overcast clouds
11,Lakatoro,VU,-16.0999,167.4164,79.11,89,100,11.65,heavy intensity rain
12,Ushuaia,AR,-54.8,-68.3,42.46,75,75,8.05,light rain
13,San Patricio,US,28.017,-97.5169,67.91,46,40,7.27,scattered clouds
14,Hilo,US,19.7297,-155.09,79.25,78,100,14.97,overcast clouds
15,Mokhsogollokh,RU,61.4681,128.9203,-18.65,98,100,3.67,overcast clouds
16,Tiksi,RU,71.6872,128.8694,-13.7,100,100,3.09,overcast clouds
17,Rikitea,PF,-23.1203,-134.9692,78.75,75,73,12.39,broken clouds
18,Port Hardy,CA,50.6996,-127.4199,41.95,88,100,17.76,overcast clouds
19,Mataura,NZ,-46.1927,168.8643,79.52,42,100,1.63,overcast clouds
20,Shimoda,JP,34.6667,138.95,50.36,55,1,19.98,clear sky
21,Charters Towers,AU,-20.1,146.2667,92.44,30,99,9.84,overcast clouds
22,Chai Badan,TH,15.2,101.1333,73.2,59,42,13.73,scattered clouds
23,Albany,US,42.6001,-73.9662,39.38,94,100,0.87,overcast clouds
24,Lebu,CL,-37.6167,-73.65,56.79,88,0,21.03,clear sky
25,Berlevag,NO,70.8578,29.0864,33.75,64,100,14.97,light snow
26,Jamestown,US,42.097,-79.2353,58.01,67,100,5.99,mist
27,Thompson,CA,55.7435,-97.8558,-3.37,99,58,4.65,broken clouds
28,Kommunisticheskiy,RU,61.6789,64.4819,4.46,97,100,4.79,light snow
29,Dudinka,RU,69.4058,86.1778,-21.39,100,100,1.97,overcast clouds
30,Saldanha,ZA,-33.0117,17.9442,62.65,93,100,8.9,overcast clouds
31,La Ronge,CA,55.1001,-105.2842,12.49,96,98,3.74,overcast clouds
32,Haines Junction,CA,60.7522,-137.5108,14.41,98,100,0.65,overcast clouds
33,Ancud,CL,-41.8697,-73.8203,55.42,89,89,4.54,overcast clouds
34,Vaini,TO,-21.2,-175.2,78.96,94,75,8.05,broken clouds
35,Igboho,NG,8.8333,3.75,72.59,29,86,5.91,overcast clouds
36,Ribeira Grande,PT,38.5167,-28.7,62.78,75,94,15.99,overcast clouds
37,Chau Doc,VN,10.7,105.1167,79.34,62,90,14.16,overcast clouds
38,Dikson,RU,73.5069,80.5464,-26.37,99,19,9.08,few clouds
39,Cherskiy,RU,68.75,161.3,-47.99,100,51,3.27,broken clouds
40,Hobart,AU,-42.8794,147.3294,63.27,66,75,9.22,broken clouds
41,Tucurui,BR,-3.7661,-49.6725,76.01,88,91,2.48,overcast clouds
42,Kodiak,US,57.79,-152.4072,33.31,100,100,9.22,light snow
43,Copiapo,CL,-27.3667,-70.3333,58.69,69,0,3.49,clear sky
44,Bambous Virieux,MU,-20.3428,57.7575,77.25,78,40,4.61,scattered clouds
45,Khatanga,RU,71.9667,102.5,-34.92,100,100,1.83,overcast clouds
46,Saint-Philippe,RE,-21.3585,55.7679,76.59,78,45,9.17,scattered clouds
47,Barrow,US,71.2906,-156.7887,6.82,85,100,14.97,mist
48,Geraldton,AU,-28.7667,114.6,99.01,14,0,23.02,clear sky
49,Krasnoselkup,RU,65.7,82.4667,-2.06,97,100,10.8,overcast clouds
50,Korla,CN,41.7597,86.1469,18.25,55,79,2.39,broken clouds
51,Luderitz,NA,-26.6481,15.1594,62.65,84,0,11.59,clear sky
52,Hithadhoo,MV,-0.6,73.0833,80.67,71,12,11.01,few clouds
53,Nemuro,JP,43.3236,145.575,21.36,55,7,21.61,clear sky
54,Puerto Ayora,EC,-0.7393,-90.3518,73.54,94,25,5.73,scattered clouds
55,Yishui,CN,35.7847,118.6281,39.07,50,100,3.42,overcast clouds
56,Butaritari,KI,3.0707,172.7902,78.84,80,97,6.62,overcast clouds
57,Lima,PE,-12.0432,-77.0282,70.9,77,0,8.05,clear sky
58,Usinsk,RU,65.9939,57.5281,-5.98,96,97,5.64,overcast clouds
